COUNTRY,ISO3,INFORM RISK,RISK CLASS,Rank,Lack of Reliability (*),HAZARD & EXPOSURE,Natural,Earthquake,River Flood,Tsunami,Tropical Cyclone,Coastal flood,Drought,Epidemic,Human,Projected Conflict Probability,Current Conflict Intensity,VULNERABILITY,Socio-Economic Vulnerability,Development & Deprivation,Inequality,Economic Dependency,Vulnerable Groups,Uprooted people,Health Conditions,Children U5,Recent Shocks,Food Security,Other Vulnerable Groups,LACK OF COPING CAPACITY,Institutional,DRR,Governance,Infrastructure,Communication,Physical infrastructure,Access to health care,Number of Missing Indicators,% of Missing Indicators,Countries in HVC,Recentness data (average years),INFORM_2016,Rank_2016
Burundi,BDI,6,High,23,1.284507042,5,3,4.5,2.6,0,0,0,3.8,7,6.5,7,6,6.4,7.1,9.7,4.9,4.2,5.6,6.3,2.9,5,1.8,7.4,4.7,6.7,6.2,4.6,7.8,7.1,7.6,7.1,6.7,2,0.039215686,,0.14084507,5.9,22
Belgium,BEL,2.1,Very Low,161,3.822222222,2.1,3.4,2.9,6.2,0,0,7.7,1.3,1.5,0.6,0.3,0.9,2.6,0.2,0,0.5,0.4,4.5,7.2,0.2,0.3,0,0,0.1,1.7,2.6,x,2.6,0.7,1.9,0,0.3,9,0.176470588,,0.266666667,1.7,169
Benin,BEN,5.1,High,39,1.039613527,4,3.2,0.1,6.6,0,0,1.9,0.9,7.7,4.7,4.6,4.8,5.1,6.3,8.8,5.6,2,3.7,4.1,4.2,5.3,0.1,2.5,3.3,6.4,5.5,5.5,5.5,7.2,6.1,8.1,7.4,1,0.019607843,,0.144927536,4,69
Burkina Faso,BFA,7.3,Very High,9,1.380952381,8.1,3,0.1,2.2,0,0,0,6.2,7.5,10,10,10,7.4,6.8,9.2,5.4,3.2,8,9.8,3,5,3.7,3.8,3.9,6.4,4.8,3.2,6.3,7.6,7.5,9,6.2,1,0.019607843,YES,0.157142857,4.2,63
Bangladesh,BGD,5.8,High,26,1.035294118,6.5,8.3,8.9,9.9,8.1,7.9,8.9,4.5,7.4,3.5,3.9,3.1,6.1,4.6,6.3,4.4,1.3,7.3,8.1,1.9,3.6,10,3.7,6.2,4.8,5.1,3,7.1,4.4,3.9,4.4,4.9,3,0.058823529,,0.044117647,5.9,22
Bulgaria,BGR,2.7,Low,126,3.644444444,2,3.5,6.2,5.1,0,0,2.9,3.2,4.8,0.1,0.1,0,3.2,1.9,2,3.1,0.5,4.3,6.6,0.2,0.5,0.1,2,0.7,3,4.4,3.2,5.5,1.3,1.7,1.3,1,7,0.137254902,,0.333333333,2.4,139
Bahrain,BHR,1.3,Very Low,188,5.333333333,0.9,1.6,0.1,0,0,0,5.3,0,3.8,0.2,0.4,0,0.8,0.7,0.2,2.4,0,0.9,1.2,0.2,0.5,0,1.2,0.5,2.9,4.3,3.8,4.8,1.1,0.8,0,2.6,16,0.31372549,,0.25,1.5,177
Bahamas,BHS,2.2,Low,154,5.964912281,1.8,3.3,0.1,0,0,7.4,6.1,1.7,3.7,0.1,0.1,0,1.9,1.9,1.6,4.4,0.1,1.9,1.9,0.5,1,0,5.1,1.9,3.1,3.9,x,3.9,2.3,1.9,2,3,15,0.294117647,,0.368421053,2.2,148
Bosnia and Herzegovina,BIH,3.1,Low,103,6.666666667,1.6,2.9,6,5.9,0.3,0,0,3,2.4,0.1,0.1,0,3.7,2.8,2.9,2,3.3,4.5,7,0.2,0.5,0.2,1,0.5,4.9,6.8,x,6.8,2.2,1.7,1.3,3.6,10,0.196078431,,0.803278689,3.3,97
Belarus,BLR,1.8,Very Low,173,3.251612903,0.9,1.7,0.1,5.8,0,0,0,2.1,2.2,0.1,0.1,0,2.2,1.3,2,0.7,0.3,3.1,5.1,0.4,0.2,0,0.8,0.4,3,4.7,2.8,6.5,0.9,1.2,0.1,1.4,8,0.156862745,,0.209677419,1.6,173
Belize,BLZ,3.7,Medium,79,4.266666667,2.1,3.7,2,2.2,3,5,6,2.1,4.3,0.1,0.1,0,4.9,4.3,4.3,6.1,2.4,5.5,5.5,0.7,0.9,10,1.8,5.4,4.9,5.7,x,5.7,3.9,3.6,3,5.1,9,0.176470588,,0.35,3.1,105
Bolivia,BOL,3.8,Medium,78,3.733333333,2.4,4.1,7.1,5.5,0,0,0,6.5,5.3,0.3,0.5,0,4.4,4,5,4.8,1,4.8,3.8,0.8,1.3,9.4,6.2,5.7,5.3,6.1,5.6,6.6,4.3,2.5,4.6,5.8,4,0.078431373,,0.5,3.5,89
Brazil,BRA,5.2,High,38,3.585858586,8.2,4,0.5,7.7,0,0,5,4.5,5.8,9.9,10,9.7,4,3.4,3.7,6,0.1,4.5,6.8,0.6,1,1.5,1,1,4.3,5.3,4.3,6.3,3.1,2.1,3.4,3.7,5,0.098039216,YES,0.287878788,3.9,76
Barbados,BRB,2.1,Very Low,161,6.458757062,2.2,3.9,5.4,0,3.7,8.1,1.5,0.5,4.1,0,0,0,1.6,2.4,2.6,3.9,0.3,0.8,0.8,0.6,0.8,0,1.3,0.7,2.5,3.2,2.7,3.6,1.8,1.9,0.2,3.2,11,0.215686275,,0.661016949,2.1,151
Brunei Darussalam,BRN,2.4,Low,144,4.484848485,1.4,2.6,0.1,4.8,1.9,0,3.3,2.5,4.2,0,0,0,3,1.7,1.5,3.7,0,4.1,6.3,0.5,0.7,0,2,0.8,3.5,4.6,6,3.1,2.1,1.2,2.4,2.7,16,0.31372549,,0.090909091,2.5,131
Bhutan,BTN,2.6,Low,131,3.516666667,1.6,2.9,6.8,4.2,0,0,0,0,5.7,0.1,0.1,0,2.7,4,4.4,2.7,4.6,1.1,0,1.5,2.3,0,4.2,2.1,4,4.1,4.5,3.6,3.9,3,4.1,4.6,6,0.117647059,,0.359375,3,111
Botswana,BWA,2.7,Low,126,3.239800995,1.2,2.2,0.1,3.6,0,0,0,5.8,3.9,0.1,0.1,0,3.8,4.7,5.6,6.8,0.6,2.7,1.2,5.1,3,0.7,6,4,4.5,4.9,5.6,4.1,4.1,2.4,4.4,5.4,2,0.039215686,,0.507462687,2.9,115
Central African Republic,CAF,8.1,Very High,3,2.568627451,7,3.3,0.1,6,0,0,0,3,8.2,8.9,9.8,7.5,8.7,8.2,10,6.8,6,9.1,9.6,8.9,6.1,10,6.2,8.3,8.8,8,x,8,9.4,8.8,9.7,9.7,3,0.058823529,YES,0.235294118,8.4,3
Canada,CAN,2.6,Low,131,3.661016949,2.5,4.4,4.8,7.1,5.7,2.3,5.4,2.1,1.7,0.1,0.1,0,2.7,0.3,0,1.3,0,4.5,7.1,0.2,0.4,0.1,0.4,0.3,2.5,2.6,3,2.2,2.3,2.1,3.1,1.6,10,0.196078431,,0.186440678,2.4,139
Switzerland,CHE,1.5,Very Low,183,3.117241379,1.3,2.3,4.6,5.9,0,0,0,0.9,2.2,0.1,0.1,0,2.9,0.4,0,1.2,0.2,4.8,7.4,0.1,0.3,0.1,1.2,0.4,0.9,1.2,0.9,1.4,0.6,1.5,0,0.3,11,0.215686275,,0.034482759,1.3,185
