CRI Rank,Country,CRI score,Fatalities in 2019 (Rank),Fatalities per 100 000 inhabitants (Rank),Losses in million US$ (PPP) (Rank),Losses per unit GDP in % (Rank),iso3
5,Malawi,15.17,20,13,35,5,MWI
99,Malaysia,87.33,58,78,74,118,MYS
111,Maldives,97.33,106,106,114,76,MDV
90,Mali,79.67,52,58,108,101,MLI
68,Malta,67.33,106,106,54,16,MLT
130,Marshall Islands,118,106,106,130,130,MHL
58,Mauritania,63,76,44,96,59,MRT
125,Mauritius,105.17,106,106,113,100,MUS
54,Mexico,59.5,31,73,26,77,MEX
130,Micronesia,118,106,106,130,130,FSM
130,Moldova,118,106,106,130,130,MDA
22,Mongolia,31.67,50,9,62,30,MNG
89,Montenegro,78,80,8,126,123,MNE
90,Morocco,79.67,35,42,117,121,MAR
1,Mozambique,2.67,2,3,4,2,MOZ
21,Myanmar,31.33,24,38,30,29,MMR
113,Namibia,98.17,98,75,119,111,NAM
12,Nepal,20,10,7,42,27,NPL
109,Netherlands,97.17,106,106,59,103,NLD
66,New Zealand,66.33,90,76,52,52,NZL
49,Nicaragua,58,72,52,82,45,NIC
9,Niger,18.17,17,12,46,11,NER
73,Nigeria,70,27,84,47,89,NGA
130,North Macedonia,118,106,106,130,130,MKD
106,Norway,92.33,98,94,70,99,NOR
95,Oman,84.67,67,35,123,124,OMN
15,Pakistan,25,8,39,14,25,PAK
127,Panama,108.33,106,106,102,115,PAN
51,Papua New Guinea,58.67,49,17,105,82,PNG
20,Paraguay,30,52,22,38,23,PRY
46,Peru,56.33,37,43,57,79,PER
17,Philippines,26.67,13,40,15,26,PHL
93,Poland,80,76,97,40,85,POL
37,Portugal,48.33,67,61,29,36,PRT
130,Puerto Rico,118,106,106,130,130,PRI
130,Qatar,118,106,106,130,130,QAT
109,Republic of Congo,97.17,98,89,115,96,COG
53,Republic of Yemen,59.33,42,46,84,69,YEM
123,Romania,104.5,106,106,77,116,ROU
39,Russia,50.67,33,80,13,49,RUS
42,Rwanda,53.33,45,21,99,67,RWA
130,Samoa,118,106,106,130,130,WSM
75,Saudi Arabia,73,48,65,50,105,SAU
70,Senegal,67.5,106,106,43,22,SEN
105,Serbia,92,106,106,78,78,SRB
130,Seychelles,118,106,106,130,130,SYC
86,Sierra Leone,76.5,67,54,116,84,SLE
130,Singapore,118,106,106,130,130,SGP
87,Slovak Republic,77.17,76,53,87,97,SVK
103,Slovenia,91.83,106,106,85,74,SVN
130,Solomon Islands,118,106,106,130,130,SLB
24,South Africa,32.5,16,26,31,48,ZAF
8,South Sudan,17.33,12,4,64,10,SSD
32,Spain,42.83,47,69,10,31,ESP
30,Sri Lanka,41.83,33,24,48,61,LKA
130,St. Kitts and Nevis,118,106,106,130,130,KNA
130,St. Lucia,118,106,106,130,130,LCA
130,St. Vincent and the Grenadines,118,106,106,130,130,VCT
11,Sudan,19.83,22,25,23,12,SDN
130,Suriname,118,106,106,130,130,SUR
118,Sweden,100.5,106,106,69,108,SWE
96,Switzerland,85.5,90,87,61,94,CHE
122,Tajikistan,104.33,90,91,120,117,TJK
67,Tanzania,66.5,27,47,88,95,TZA
34,Thailand,43.17,36,64,19,38,THA
3,The Bahamas,6.5,30,1,5,1,BHS
41,The Gambia,53.17,80,33,103,35,GMB
130,Togo,118,106,106,130,130,TGO
130,Tonga,118,106,106,130,130,TON
130,Trinidad and Tobago,118,106,106,130,130,TTO
130,Tunisia,118,106,106,130,130,TUN
64,Turkey,66,40,71,34,90,TUR
130,Tuvalu,118,106,106,130,130,TUV
31,Uganda,42.17,21,19,68,63,UGA
85,Ukraine,76.17,76,100,41,70,UKR
130,United Arab Emirates,118,106,106,130,130,ARE
102,United Kingdom,90.83,84,105,39,106,GBR
90,Uruguay,79.67,84,56,100,91,URY
130,Uzbekistan,118,106,106,130,130,UZB
75,Vanuatu,73,106,106,106,7,VUT
130,Venezuela,118,106,106,130,130,VEN
38,Vietnam,50.17,25,57,32,65,VNM
59,Zambia,63.33,80,90,56,32,ZMB
2,Zimbabwe,6.17,6,2,21,3,ZWE
